DepMap_ID,Cluster
ACH-000001,2
ACH-000004,0
ACH-000005,0
ACH-000007,1
ACH-000009,3
ACH-000011,4
ACH-000012,2
ACH-000013,2
ACH-000015,1
ACH-000017,1
ACH-000018,4
ACH-000019,1
ACH-000021,2
ACH-000022,1
ACH-000023,3
ACH-000024,0
ACH-000025,4
ACH-000028,1
ACH-000029,1
ACH-000030,3
ACH-000035,3
ACH-000036,4
ACH-000037,2
ACH-000039,2
ACH-000040,4
ACH-000041,1
ACH-000042,3
ACH-000045,0
ACH-000048,2
ACH-000052,1
ACH-000053,0
ACH-000054,3
ACH-000055,2
ACH-000060,3
ACH-000067,3
ACH-000070,0
ACH-000074,0
ACH-000075,3
ACH-000076,0
ACH-000077,1
ACH-000078,0
ACH-000082,4
ACH-000085,1
ACH-000086,3
ACH-000087,1
ACH-000092,4
ACH-000093,3
ACH-000094,3
ACH-000095,1
ACH-000096,2
ACH-000097,1
ACH-000098,4
ACH-000099,0
ACH-000101,0
ACH-000103,3
ACH-000108,3
ACH-000111,2
ACH-000113,0
ACH-000114,3
ACH-000115,1
ACH-000116,2
ACH-000118,3
ACH-000120,2
ACH-000123,2
ACH-000124,0
ACH-000127,3
ACH-000128,3
ACH-000132,4
ACH-000133,3
ACH-000137,3
ACH-000138,4
ACH-000139,3
ACH-000141,3
ACH-000142,3
ACH-000143,1
ACH-000144,3
ACH-000145,2
ACH-000146,0
ACH-000147,1
ACH-000148,2
ACH-000149,2
ACH-000150,3
ACH-000151,0
ACH-000152,4
ACH-000153,2
ACH-000155,3
ACH-000159,3
ACH-000160,3
ACH-000161,3
ACH-000163,3
ACH-000164,2
ACH-000167,0
ACH-000168,0
ACH-000169,2
ACH-000172,2
ACH-000174,4
ACH-000176,2
ACH-000178,3
ACH-000181,1
ACH-000182,2
ACH-000183,0
ACH-000187,0
ACH-000188,1
ACH-000189,2
ACH-000190,2
ACH-000191,3
ACH-000192,2
ACH-000195,0
ACH-000198,0
ACH-000200,4
ACH-000202,1
ACH-000204,0
ACH-000206,0
ACH-000207,3
ACH-000209,3
ACH-000211,3
ACH-000212,4
ACH-000213,1
ACH-000215,3
ACH-000217,2
ACH-000219,3
ACH-000221,2
ACH-000222,3
ACH-000223,1
ACH-000226,1
ACH-000227,0
ACH-000228,2
ACH-000231,2
ACH-000232,3
ACH-000233,1
ACH-000234,3
ACH-000235,3
ACH-000237,3
ACH-000238,3
ACH-000243,2
ACH-000244,4
ACH-000246,3
ACH-000247,1
ACH-000248,1
ACH-000249,3
ACH-000250,3
ACH-000251,3
ACH-000252,1
ACH-000253,1
ACH-000255,2
ACH-000256,3
ACH-000257,0
ACH-000258,0
ACH-000259,0
ACH-000260,3
ACH-000261,2
ACH-000262,4
ACH-000263,0
ACH-000264,3
ACH-000265,2
ACH-000266,4
ACH-000269,2
ACH-000271,0
ACH-000272,3
ACH-000273,4
ACH-000274,4
ACH-000276,2
ACH-000277,1
ACH-000278,3
ACH-000279,1
ACH-000280,3
ACH-000281,3
ACH-000282,3
ACH-000286,3
ACH-000288,4
ACH-000290,0
ACH-000291,1
ACH-000292,3
ACH-000293,2
ACH-000294,0
ACH-000295,0
ACH-000296,1
ACH-000302,3
ACH-000303,2
ACH-000304,3
ACH-000305,1
ACH-000307,3
ACH-000308,3
ACH-000310,0
ACH-000311,1
ACH-000312,0
ACH-000313,4
ACH-000315,0
ACH-000316,4
ACH-000317,2
ACH-000318,2
ACH-000319,3
ACH-000320,1
ACH-000322,2
ACH-000323,2
ACH-000324,3
ACH-000325,1
ACH-000326,0
ACH-000329,2
ACH-000330,2
ACH-000331,4
ACH-000332,3
ACH-000334,0
ACH-000335,2
ACH-000336,0
ACH-000337,1
ACH-000339,3
ACH-000341,0
ACH-000343,2
ACH-000344,4
ACH-000346,0
ACH-000348,3
ACH-000350,3
ACH-000352,2
ACH-000354,1
ACH-000355,0
ACH-000356,1
ACH-000359,4
ACH-000361,3
ACH-000362,0
ACH-000363,0
ACH-000364,4
ACH-000365,0
ACH-000366,1
ACH-000367,2
ACH-000368,4
ACH-000370,2
ACH-000371,0
ACH-000374,2
ACH-000375,2
ACH-000376,2
ACH-000377,3
ACH-000378,2
ACH-000381,1
ACH-000383,3
ACH-000385,2
ACH-000387,0
ACH-000389,3
ACH-000390,1
ACH-000391,2
ACH-000393,3
ACH-000395,1
ACH-000397,3
ACH-000398,0
ACH-000401,4
ACH-000402,0
ACH-000403,3
ACH-000404,1
ACH-000405,0
ACH-000406,0
ACH-000407,4
ACH-000408,1
ACH-000410,2
ACH-000411,3
ACH-000414,1
ACH-000415,1
ACH-000416,3
ACH-000417,3
ACH-000420,4
ACH-000421,1
ACH-000422,3
ACH-000424,1
ACH-000425,3
ACH-000427,1
ACH-000430,3
ACH-000431,0
ACH-000433,3
ACH-000434,2
ACH-000435,2
ACH-000436,0
ACH-000437,3
ACH-000438,1
ACH-000441,3
ACH-000442,2
ACH-000444,3
ACH-000445,3
ACH-000448,1
ACH-000450,1
ACH-000452,3
ACH-000454,3
ACH-000455,2
ACH-000456,3
ACH-000458,3
ACH-000459,4
ACH-000460,4
ACH-000461,2
ACH-000463,2
ACH-000464,3
ACH-000466,2
ACH-000467,1
ACH-000468,4
ACH-000469,4
ACH-000470,1
ACH-000471,4
ACH-000472,1
ACH-000473,1
ACH-000475,1
ACH-000476,3
ACH-000477,3
ACH-000478,4
ACH-000480,3
ACH-000481,1
ACH-000483,3
ACH-000484,2
ACH-000485,1
ACH-000486,3
ACH-000487,0
ACH-000488,1
ACH-000489,1
ACH-000490,1
ACH-000491,1
ACH-000493,3
ACH-000495,3
ACH-000496,4
ACH-000498,0
ACH-000499,1
ACH-000500,2
ACH-000501,3
ACH-000502,3
ACH-000503,2
ACH-000504,4
ACH-000505,3
ACH-000507,1
ACH-000510,2
ACH-000511,3
ACH-000512,0
ACH-000514,0
ACH-000516,4
ACH-000517,4
ACH-000518,2
ACH-000520,2
ACH-000521,4
ACH-000522,4
ACH-000524,3
ACH-000525,0
ACH-000527,3
ACH-000528,2
ACH-000532,3
ACH-000533,2
ACH-000535,3
ACH-000537,4
ACH-000541,0
ACH-000542,3
ACH-000544,3
ACH-000545,3
ACH-000546,2
ACH-000547,2
ACH-000548,3
ACH-000549,1
ACH-000550,4
ACH-000551,0
ACH-000552,1
ACH-000554,1
ACH-000556,2
ACH-000557,0
ACH-000558,3
ACH-000559,0
ACH-000561,1
ACH-000562,2
ACH-000563,3
ACH-000565,1
ACH-000567,0
ACH-000570,4
ACH-000571,3
ACH-000573,1
ACH-000576,0
ACH-000577,4
ACH-000579,2
ACH-000580,3
ACH-000581,1
ACH-000583,0
ACH-000584,2
ACH-000585,3
ACH-000587,3
ACH-000588,0
ACH-000589,1
ACH-000591,4
ACH-000592,3
ACH-000593,3
ACH-000595,3
ACH-000596,1
ACH-000597,2
ACH-000599,1
ACH-000601,1
ACH-000602,0
ACH-000604,0
ACH-000605,2
ACH-000606,1
ACH-000607,1
ACH-000608,3
ACH-000609,2
ACH-000614,3
ACH-000616,3
ACH-000618,2
ACH-000619,3
ACH-000620,3
ACH-000621,3
ACH-000622,3
ACH-000623,2
ACH-000624,1
ACH-000627,3
ACH-000630,4
ACH-000632,4
ACH-000633,1
ACH-000634,2
ACH-000637,1
ACH-000638,2
ACH-000639,0
ACH-000645,4
ACH-000646,1
ACH-000647,2
ACH-000648,3
ACH-000649,3
ACH-000651,1
ACH-000652,3
ACH-000653,0
ACH-000654,0
ACH-000655,2
ACH-000656,0
ACH-000657,1
ACH-000660,0
ACH-000661,2
ACH-000662,1
ACH-000663,3
ACH-000664,1
ACH-000665,3
ACH-000666,4
ACH-000667,3
ACH-000668,2
ACH-000671,3
ACH-000673,3
ACH-000676,2
ACH-000677,3
ACH-000680,1
ACH-000681,3
ACH-000682,2
ACH-000683,1
